6.00-1-1,1432000060000001001000
6.00-1-10,1432000060000001010000
6.00-1-11.12,1432000060000001011120
6.00-1-11.2,1432000060000001011200
6.00-1-12,1432000060000001012000
6.00-1-13,1432000060000001013000
6.00-1-14.112,1432000060000001014112
6.00-1-14.121,1432000060000001014121
6.00-1-14.21,1432000060000001014210
6.00-1-15.112,1432000060000001015112
6.00-1-15.13,1432000060000001015130
6.00-1-15.2,1432000060000001015200
6.00-1-15.3,1432000060000001015300
6.00-1-16.1,1432000060000001016100
6.00-1-16.2,1432000060000001016200
6.00-1-17,1432000060000001017000
6.00-1-18.11,1432000060000001018110
6.00-1-19.11,1432000060000001019110
6.00-1-2,1432000060000001002000
6.00-1-20.11,1432000060000001020110
6.00-1-20.22,1432000060000001020220
6.00-1-21,1432000060000001021000
6.00-1-23.1,1432000060000001023100
6.00-1-23.2,1432000060000001023200
6.00-1-24,1432000060000001024000
6.00-1-26.1,1432000060000001026100
6.00-1-27.1,1432000060000001027100
6.00-1-27.2,1432000060000001027200
6.00-1-28,1432000060000001028000
6.00-1-3,1432000060000001003000
6.00-1-30,1432000060000001030000
6.00-1-31,1432000060000001031000
6.00-1-4,1432000060000001004000
6.00-1-5,1432000060000001005000
6.00-1-6,1432000060000001006000
6.00-1-7.11,1432000060000001007110
6.00-1-7.122,1432000060000001007122
6.00-1-7.21,1432000060000001007210
6.00-1-8,1432000060000001008000
6.00-1-9,1432000060000001009000
6.00-2-1,1432000060000002001000
6.00-2-10,1432000060000002010000
6.00-2-11,1432000060000002011000
6.00-2-12,1432000060000002012000
6.00-2-13.12,1432000060000002013120
6.00-2-14.12,1432000060000002014120
6.00-2-14.13,1432000060000002014130
6.00-2-14.2,1432000060000002014200
6.00-2-15.111,1432000060000002015111
6.00-2-15.12,1432000060000002015120
6.00-2-15.2,1432000060000002015200
6.00-2-15.311,1432000060000002015311
6.00-2-16.1,1432000060000002016100
6.00-2-17.1,1432000060000002017100
6.00-2-18.1,1432000060000002018100
6.00-2-19,1432000060000002019000
6.00-2-2.1,1432000060000002002100
6.00-2-2.2,1432000060000002002200
6.00-2-20,1432000060000002020000
6.00-2-21,1432000060000002021000
6.00-2-22.1,1432000060000002022100
6.00-2-22.2,1432000060000002022200
6.00-2-23.21,1432000060000002023210
6.00-2-23.3,1432000060000002023300
6.00-2-24,1432000060000002024000
6.00-2-25,1432000060000002025000
6.00-2-26.111,1432000060000002026111
6.00-2-26.112,1432000060000002026112
6.00-2-26.12,1432000060000002026120
6.00-2-26.2,1432000060000002026200
6.00-2-27,1432000060000002027000
6.00-2-28,1432000060000002028000
6.00-2-29.1,1432000060000002029100
6.00-2-29.2,1432000060000002029200
6.00-2-3,1432000060000002003000
6.00-2-30,1432000060000002030000
6.00-2-31,1432000060000002031000
6.00-2-32,1432000060000002032000
6.00-2-33.11,1432000060000002033110
6.00-2-33.12,1432000060000002033120
6.00-2-33.2,1432000060000002033200
6.00-2-33.31,1432000060000002033310
6.00-2-34,1432000060000002034000
6.00-2-35,1432000060000002035000
6.00-2-36,1432000060000002036000
6.00-2-37.1,1432000060000002037100
6.00-2-38.1,1432000060000002038100
6.00-2-4,1432000060000002004000
6.00-2-40,1432000060000002040000
6.00-2-41.2,1432000060000002041200
6.00-2-41.3,1432000060000002041300
6.00-2-42,1432000060000002042000
6.00-2-44,1432000060000002044000
6.00-2-45,1432000060000002045000
6.00-2-46,1432000060000002046000
6.00-2-47,1432000060000002047000
6.00-2-5,1432000060000002005000
6.00-2-6,1432000060000002006000
6.00-2-8.1,1432000060000002008100
6.00-2-9,1432000060000002009000
6.00-3-1.1,1432000060000003001100
6.00-2-9,1432000060000002009000
6.00-3-1.1,1432000060000003001100
6.00-3-10.1,1432000060000003010100
6.00-3-11,1432000060000003011000
6.00-3-12,1432000060000003012000
6.00-3-13,1432000060000003013000
6.00-3-14.11,1432000060000003014110
6.00-3-14.12,1432000060000003014120
6.00-3-14.2,1432000060000003014200
6.00-3-15.112,1432000060000003015112
6.00-3-15.12,1432000060000003015120
6.00-3-15.21,1432000060000003015210
6.00-3-17,1432000060000003017000
6.00-3-18,1432000060000003018000
6.00-3-19,1432000060000003019000
6.00-3-2,1432000060000003002000
6.00-3-20,1432000060000003020000
6.00-3-21.1,1432000060000003021100
6.00-3-22.2,1432000060000003022200
6.00-3-23,1432000060000003023000
6.00-3-24,1432000060000003024000
6.00-3-3,1432000060000003003000
6.00-3-4,1432000060000003004000
6.00-3-5,1432000060000003005000
6.00-3-6,1432000060000003006000
6.00-3-7.21,1432000060000003007210
6.00-3-8,1432000060000003008000
6.00-3-9,1432000060000003009000
6.00-4-1.114,1432000060000004001114
6.00-4-1.115,1432000060000004001115
6.00-4-1.12,1432000060000004001120
6.00-4-1.211,1432000060000004001211
6.00-4-10.2,1432000060000004010200
6.00-4-11.111,1432000060000004011111
6.00-4-11.12,1432000060000004011120
6.00-4-13,1432000060000004013000
6.00-4-14.1,1432000060000004014100
6.00-4-15.112,1432000060000004015112
6.00-4-15.12,1432000060000004015120
6.00-4-15.2,1432000060000004015200
6.00-4-16.1,1432000060000004016100
6.00-4-17.11,1432000060000004017110
6.00-4-17.2,1432000060000004017200
6.00-4-18.11,1432000060000004018110
6.00-4-18.12,1432000060000004018120
6.00-4-18.2,1432000060000004018200
6.00-4-19.1,1432000060000004019100
6.00-4-19.2,1432000060000004019200
6.00-4-2.1,1432000060000004002100
6.00-4-2.2,1432000060000004002200
6.00-4-21,1432000060000004021000
6.00-4-22.11,1432000060000004022110
6.00-4-22.2,1432000060000004022200
6.00-4-22.3,1432000060000004022300
6.00-4-23,1432000060000004023000
6.00-4-24,1432000060000004024000
6.00-4-25,1432000060000004025000
6.00-4-26,1432000060000004026000
6.00-4-3.11,1432000060000004003110
6.00-4-3.2,1432000060000004003200
6.00-4-4.1,1432000060000004004100
6.00-4-4.211,1432000060000004004211
6.00-4-5.1,1432000060000004005100
6.00-4-6.1,1432000060000004006100
6.00-4-7,1432000060000004007000
6.00-4-8.1,1432000060000004008100
6.00-4-8.2,1432000060000004008200
6.00-4-8.3,1432000060000004008300
6.00-4-9,1432000060000004009000
6.00-5-1,1432000060000005001000
6.00-5-11.1,1432000060000005011100
6.00-5-12.1,1432000060000005012100
6.00-5-15,1432000060000005015000
6.00-5-16,1432000060000005016000
6.00-5-17.11,1432000060000005017110
6.00-5-17.12,1432000060000005017120
6.00-5-19,1432000060000005019000
6.00-5-2,1432000060000005002000
6.00-5-20,1432000060000005020000
6.00-5-21,1432000060000005021000
6.00-5-22,1432000060000005022000
6.00-5-23,1432000060000005023000
6.00-5-24,1432000060000005024000
6.00-5-25.1,1432000060000005025100
6.00-5-25.2,1432000060000005025200
6.00-5-26.113,1432000060000005026113
6.00-5-26.121,1432000060000005026121
6.00-5-26.122,1432000060000005026122
6.00-5-26.123,1432000060000005026123
6.00-5-26.2,1432000060000005026200
6.00-5-26.31,1432000060000005026310
6.00-5-26.32,1432000060000005026320
6.00-5-27.1,1432000060000005027100
6.00-5-27.211,1432000060000005027211
6.00-5-27.212,1432000060000005027212
6.00-5-27.22,1432000060000005027220
6.00-5-28.1,1432000060000005028100
6.00-5-28.21,1432000060000005028210
6.00-5-29,1432000060000005029000
6.00-5-3.1,1432000060000005003100
6.00-5-30.2,1432000060000005030200
6.00-5-30.2,1432000060000005030200
6.00-5-30.32,1432000060000005030320
6.00-5-31,1432000060000005031000
6.00-5-32,1432000060000005032000
6.00-5-33,1432000060000005033000
6.00-5-34,1432000060000005034000
6.00-5-35,1432000060000005035000
6.00-5-36,1432000060000005036000
6.00-5-37,1432000060000005037000
6.00-5-38,1432000060000005038000
6.00-5-39.1,1432000060000005039100
6.00-5-39.2,1432000060000005039200
6.00-5-4.11,1432000060000005004110
6.00-5-40,1432000060000005040000
6.00-5-41,1432000060000005041000
6.00-5-42,1432000060000005042000
6.00-5-7,1432000060000005007000
6.00-5-8,1432000060000005008000
6.00-5-9,1432000060000005009000
7.00-1-1.11,1432000070000001001110
7.00-1-2,1432000070000001002000
7.00-1-3.1,1432000070000001003100
7.00-1-3.2,1432000070000001003200
8.00-1-1.11,1456890080000001001110
8.00-1-1.12,1456890080000001001120
8.00-1-1.2,1456890080000001001200
8.00-1-10,1456890080000001010000
8.00-1-11,1456890080000001011000
8.00-1-12.1,1456890080000001012100
8.00-1-12.2,1456890080000001012200
8.00-1-13.1,1456890080000001013100
8.00-1-13.2,1456890080000001013200
8.00-1-15.1,1456890080000001015100
8.00-1-15.21,1456890080000001015210
8.00-1-16.1,1456890080000001016100
8.00-1-16.2,1456890080000001016200
8.00-1-17.1,1456890080000001017100
8.00-1-17.2,1456890080000001017200
8.00-1-18,1456890080000001018000
8.00-1-19.1,1456890080000001019100
8.00-1-20.2,1456890080000001020200
8.00-1-21,1456890080000001021000
8.00-1-22.1,1456890080000001022100
8.00-1-22.2,1456890080000001022200
8.00-1-23,1456890080000001023000
8.00-1-24,1456890080000001024000
8.00-1-25,1456890080000001025000
8.00-1-26,1456890080000001026000
8.00-1-27.1,1456890080000001027100
8.00-1-29,1456890080000001029000
8.00-1-3,1456890080000001003000
8.00-1-30.1,1456890080000001030100
8.00-1-30.2,1456890080000001030200
8.00-1-31.1,1456890080000001031100
8.00-1-31.22,1456890080000001031220
8.00-1-32,1456890080000001032000
8.00-1-33,1456890080000001033000
8.00-1-34.11,1456890080000001034110
8.00-1-34.12,1456890080000001034120
8.00-1-34.2,1456890080000001034200
8.00-1-35,1456890080000001035000
8.00-1-36,1456890080000001036000
8.00-1-37,1456890080000001037000
8.00-1-4,1456890080000001004000
8.00-1-5.1,1456890080000001005100
8.00-1-7.1,1456890080000001007100
8.00-1-7.2,1456890080000001007200
8.00-1-8,1456890080000001008000
8.00-1-9,1456890080000001009000
9.00-1-1.11,1456890090000001001110
9.00-1-10.1,1456890090000001010100
9.00-1-11.1,1456890090000001011100
9.00-1-12,1456890090000001012000
9.00-1-13.1,1456890090000001013100
9.00-1-15,1456890090000001015000
9.00-1-16.11,1456890090000001016110
9.00-1-16.12,1456890090000001016120
9.00-1-16.2,1456890090000001016200
9.00-1-17.1,1456890090000001017100
9.00-1-17.2,1456890090000001017200
9.00-1-18,1456890090000001018000
9.00-1-19,1456890090000001019000
9.00-1-2,1456890090000001002000
9.00-1-20,1456890090000001020000
9.00-1-21.11,1456890090000001021110
9.00-1-21.12,1456890090000001021120
9.00-1-21.2,1456890090000001021200
9.00-1-22,1456890090000001022000
9.00-1-23.1,1456890090000001023100
9.00-1-24.2,1456890090000001024200
9.00-1-26,1456890090000001026000
9.00-1-27,1456890090000001027000
9.00-1-28,1456890090000001028000
9.00-1-29,1456890090000001029000
9.00-1-3,1456890090000001003000
9.00-1-30,1456890090000001030000
9.00-1-31,1456890090000001031000
9.00-1-32,1456890090000001032000
9.00-1-33,1456890090000001033000
9.00-1-34.1,1456890090000001034100
9.00-1-34.2,1456890090000001034200
9.00-1-4.1,1456890090000001004100
9.00-1-4.2,1456890090000001004200
9.00-1-5,1456890090000001005000
9.00-1-6,1456890090000001006000
9.00-1-7.1,1456890090000001007100
9.00-1-7.2,1456890090000001007200
9.00-1-8.112,1456890090000001008112
9.00-1-8.121,1456890090000001008121
9.00-1-8.122,1456890090000001008122
9.00-1-8.2,1456890090000001008200
9.00-1-9,1456890090000001009000
